Datetime,Open,High,Low,Close,Volume
2019-03-01 09:15:00,178.9,179.7,178.05,178.8,1918455
2019-03-01 09:30:00,178.85,180.7,178.7,179.15,870259
2019-03-01 09:45:00,179.1,179.25,178.4,178.6,724774
2019-03-01 10:00:00,178.55,179.2,178.4,178.9,1328277
2019-03-01 10:15:00,178.9,179.15,178.1,178.35,602593
2019-03-01 10:30:00,178.3,178.75,178.2,178.75,329014
2019-03-01 10:45:00,178.75,179.1,177.9,178.45,337789
2019-03-01 11:00:00,178.4,178.65,178.15,178.3,225013
2019-03-01 11:15:00,178.25,178.8,178.15,178.6,334792
2019-03-01 11:30:00,178.6,178.8,178.4,178.5,221862
2019-03-01 11:45:00,178.5,178.6,177.85,177.9,232359
2019-03-01 12:00:00,177.9,178.0,177.35,177.85,190457
2019-03-01 12:15:00,177.8,178.15,177.7,178.1,180861
2019-03-01 12:30:00,178.0,178.6,178.0,178.35,276193
2019-03-01 12:45:00,178.35,178.7,178.05,178.45,156954
2019-03-01 13:00:00,178.45,179.15,178.45,178.9,537230
2019-03-01 13:15:00,179.0,179.05,178.55,178.8,224973
2019-03-01 13:30:00,178.8,178.85,177.85,178.2,271845
2019-03-01 13:45:00,178.15,178.5,177.8,178.3,271194
2019-03-01 14:00:00,178.35,178.6,177.95,178.05,194405
2019-03-01 14:15:00,178.05,183.9,178.0,182.8,452715
2019-03-01 14:30:00,182.8,183.45,179.7,180.45,431498
2019-03-01 14:45:00,180.45,181.0,180.0,180.9,334446
2019-03-01 15:00:00,180.95,181.05,179.75,180.0,997313
2019-03-01 15:15:00,180.0,180.5,179.8,180.05,1487326
2019-03-01 15:30:00,180.05,180.05,180.05,180.05,1350
2019-03-05 09:15:00,183.15,183.2,181.4,182.4,1918455
2019-03-05 09:30:00,182.45,182.8,181.85,182.3,870259
2019-03-05 09:45:00,182.4,185.0,182.25,184.75,724774
2019-03-05 10:00:00,184.85,185.95,184.65,185.85,1328277
2019-03-05 10:15:00,185.85,191.15,185.35,190.9,602593
2019-03-05 10:30:00,191.1,192.15,189.8,191.0,329014
2019-03-05 10:45:00,190.95,196.0,190.95,195.35,337789
2019-03-05 11:00:00,195.4,198.2,194.95,196.0,225013
2019-03-05 11:15:00,196.1,196.2,194.65,194.85,334792
2019-03-05 11:30:00,194.9,195.5,194.7,194.7,221862
2019-03-05 11:45:00,194.65,195.75,194.2,195.1,232359
2019-03-05 12:00:00,195.1,195.25,194.0,195.15,190457
2019-03-05 12:15:00,195.1,195.2,193.75,194.0,180861
2019-03-05 12:30:00,194.0,194.15,192.65,193.4,276193
2019-03-05 12:45:00,193.4,193.55,192.85,193.35,156954
2019-03-05 13:00:00,193.35,194.2,193.25,193.55,537230
2019-03-05 13:15:00,193.6,194.75,193.6,194.25,224973
2019-03-05 13:30:00,194.25,194.45,193.55,194.15,271845
2019-03-05 13:45:00,194.15,194.3,193.6,193.75,271194
2019-03-05 14:00:00,193.7,194.25,193.7,193.9,194405
2019-03-05 14:15:00,193.9,195.25,193.75,194.7,452715
2019-03-05 14:30:00,194.7,194.8,193.95,194.6,431498
2019-03-05 14:45:00,194.6,195.65,193.8,194.95,334446
2019-03-05 15:00:00,194.9,195.1,193.9,194.3,997313
2019-03-05 15:15:00,194.3,194.5,193.1,193.7,1487326
2019-03-05 15:30:00,193.4,193.4,193.4,193.4,1350
2019-03-06 09:15:00,195.25,195.3,192.0,192.2,1918455
2019-03-06 09:30:00,192.15,192.4,190.75,191.35,870259
2019-03-06 09:45:00,191.3,192.8,191.25,192.5,724774
2019-03-06 10:00:00,192.45,193.45,191.4,191.6,1328277
2019-03-06 10:15:00,191.6,191.95,191.05,191.9,602593
2019-03-06 10:30:00,191.9,191.9,191.25,191.85,329014
2019-03-06 10:45:00,191.8,193.2,191.75,192.5,337789
2019-03-06 11:00:00,192.45,192.75,191.65,192.1,225013
2019-03-06 11:15:00,192.1,192.45,191.65,192.2,334792
2019-03-06 11:30:00,192.15,192.2,191.85,192.15,221862
2019-03-06 11:45:00,192.1,192.4,191.65,191.8,232359
2019-03-06 12:00:00,191.75,191.9,191.65,191.8,190457
2019-03-06 12:15:00,191.8,192.15,191.2,191.45,180861
